Date,"Volume, items",Open,High,Low,Close
2018-03-26,3410780,313.8,314.45,308.05,308.05
2018-03-27,2724110,310.05,311.25,308.15,309.65
2018-03-28,2930120,308.25,310.85,305.0,308.8
2018-03-29,3848480,310.05,317.5,309.7,316.35
2018-03-30,1223700,317.5,318.1,313.2,313.9
2018-04-02,2452220,314.5,316.85,309.05,309.05
2018-04-03,4461740,309.05,313.85,309.05,313.25
2018-04-04,7918150,313.5,319.95,313.3,319.6
2018-04-05,8052760,321.0,325.95,320.1,322.65
2018-04-06,3621820,321.9,322.3,318.05,319.6
2018-04-09,22425040,318.1,318.85,281.65,299.5
2018-04-10,13051680,299.0,313.95,296.4,309.0
2018-04-11,16920630,309.0,324.0,306.9,324.0
2018-04-12,18639000,324.95,333.0,316.2,333.0
2018-04-13,8414940,331.3,331.75,319.8,323.0
2018-04-16,3545420,317.0,324.5,315.1,319.0
2018-04-17,7051100,324.0,329.5,320.05,329.5
2018-04-18,8288320,329.3,337.85,326.0,333.1
2018-04-19,6569130,335.25,339.0,333.0,337.3
2018-04-20,7033820,336.5,342.45,334.1,338.95
2018-04-23,8675780,339.95,351.0,336.1,351.0
2018-04-24,9104490,352.9,362.5,347.8,352.25
2018-04-25,12084360,349.7,370.0,348.05,370.0
2018-04-26,13914390,368.1,376.0,364.0,375.0
2018-04-27,10768550,375.0,380.65,373.5,380.0
2018-04-28,1342710,379.5,381.15,376.0,381.0
2018-04-30,3687340,381.05,388.25,379.15,383.0
2018-05-02,13341560,390.0,408.05,389.3,401.05
2018-05-03,9673410,400.05,400.9,386.1,387.15
2018-05-04,4935000,388.0,394.95,385.05,386.75
2018-05-07,5697830,390.0,398.95,387.5,388.25
2018-05-08,5798310,388.35,394.55,385.8,393.05
2018-05-10,3784410,400.0,400.0,393.2,395.7
2018-05-11,6064050,393.2,403.75,392.45,401.45
2018-05-14,2984860,402.0,404.5,397.45,403.55
2018-05-15,4699950,402.0,402.0,392.0,394.85
2018-05-16,4060930,395.5,398.0,388.65,389.8
2018-05-17,4209030,391.95,392.05,381.85,381.85
2018-05-18,3237250,382.0,389.7,380.1,387.0
2018-05-21,2367900,387.95,391.55,385.45,386.9
2018-05-22,2431880,387.5,388.35,381.5,385.55
2018-05-23,4111650,384.65,384.7,376.05,377.7
2018-05-24,4302720,379.2,381.5,374.25,378.0
2018-05-25,2793010,378.2,379.45,374.7,378.3
2018-05-28,1558470,376.6,379.65,374.25,379.55
2018-05-29,3487340,378.85,383.5,376.55,383.0
2018-05-30,2575260,382.5,383.8,379.0,381.05
2018-05-31,3912500,381.5,386.0,381.1,385.3
2018-06-01,1964460,384.2,386.75,381.65,382.55
2018-06-04,1335330,383.5,387.75,382.85,384.9
2018-06-05,22365300,383.25,386.35,371.4,381.95
2018-06-06,2338250,382.7,382.75,377.1,380.8
2018-06-07,2228290,382.0,384.0,380.05,380.05
2018-06-08,4781700,380.5,383.75,378.45,381.0
2018-06-09,231600,381.7,382.95,381.05,382.15
2018-06-11,1725040,382.8,386.5,378.85,384.55
2018-06-13,2484080,385.4,386.9,381.2,382.0
2018-06-14,2809730,383.8,383.8,377.3,381.7
2018-06-15,4633410,381.45,384.5,379.0,383.25
2018-06-18,4061820,381.85,389.5,379.4,387.0
2018-06-19,5227340,386.5,393.6,383.25,392.35
2018-06-20,3966110,393.1,395.9,387.7,390.2
2018-06-21,4106180,390.0,395.15,387.05,392.75
2018-06-22,3212620,393.5,395.4,388.45,390.8
2018-06-25,2707500,390.0,399.65,388.7,393.95
2018-06-26,2825190,395.0,397.35,388.7,389.3
2018-06-27,3046940,390.25,396.5,387.7,394.6
2018-06-28,3639810,395.0,399.85,394.0,396.5
2018-06-29,2783110,391.1,396.2,391.05,396.15
2018-07-02,2677000,394.5,398.8,392.5,394.7
2018-07-03,2404620,393.95,394.7,388.35,389.95
2018-07-04,1735390,391.0,393.75,388.35,393.25
2018-07-05,3870030,392.9,406.05,391.95,406.05
2018-07-06,2324820,405.05,405.05,398.8,403.4
2018-07-09,2545920,402.4,410.45,402.4,408.15
2018-07-10,5875760,410.8,419.0,407.25,413.2
2018-07-11,3955770,412.0,414.15,407.15,409.85
2018-07-12,3588540,407.0,408.45,399.6,406.45
2018-07-13,2574640,407.0,412.0,403.45,406.9
2018-07-16,2911940,406.8,411.9,404.0,407.3
2018-07-17,2712430,406.5,406.5,398.15,399.5
2018-07-18,2846350,400.95,402.2,396.7,400.9
2018-07-19,1424950,401.1,403.3,397.2,400.5
2018-07-20,2726380,401.55,401.55,391.1,393.25
2018-07-23,1390630,394.25,396.35,391.4,394.5
2018-07-24,1316730,394.7,395.1,390.35,394.9
2018-07-25,1788150,392.5,396.55,390.85,395.8
2018-07-26,1638900,396.0,400.0,393.85,397.35
2018-07-27,2318520,397.35,404.4,397.35,403.5
2018-07-30,1641700,400.3,407.0,399.0,406.45
2018-07-31,4504090,407.0,419.0,405.6,419.0
2018-08-01,3024390,418.95,419.8,412.1,416.6
2018-08-02,2388420,416.95,419.45,413.65,416.8
2018-08-03,2831870,416.7,416.7,407.2,411.25
2018-08-06,4759030,412.55,422.6,412.5,419.35
2018-08-07,9945010,420.95,432.45,420.6,427.9
2018-08-08,4131460,427.0,430.0,418.8,429.0
2018-08-09,3231570,427.5,432.3,424.3,432.3
2018-08-10,4115890,429.2,441.15,429.2,433.25
2018-08-13,3684080,430.3,439.95,429.0,437.2
2018-08-14,2621040,439.75,442.0,430.0,431.3
2018-08-15,3823470,430.0,433.25,425.05,428.55
2018-08-16,2658400,428.55,430.0,422.1,422.3
2018-08-17,2124680,423.0,427.85,421.0,425.8
2018-08-20,1112730,418.05,429.9,418.05,427.0
2018-08-21,2407720,429.0,434.0,425.85,434.0
2018-08-22,2394360,434.5,440.0,432.4,437.3
2018-08-23,2426110,437.8,441.25,426.25,430.0
2018-08-24,2826300,432.0,432.0,425.0,428.1
2018-08-27,1689290,429.25,434.75,426.5,434.75
2018-08-28,2271780,435.0,437.95,432.15,436.0
2018-08-29,2671530,436.2,444.95,435.35,440.5
2018-08-30,2556860,444.3,444.3,435.0,437.0
2018-08-31,2589720,435.0,438.25,430.95,435.7
2018-09-03,1178880,435.7,439.7,432.4,438.75
2018-09-04,1614480,439.0,444.85,436.85,439.35
2018-09-05,1820600,438.15,440.5,434.45,434.5
2018-09-06,1683090,435.5,439.0,433.2,436.05
2018-09-07,1629820,435.1,441.55,432.4,439.55
2018-09-10,2122830,438.95,449.45,438.95,449.45
2018-09-11,2337800,450.0,451.35,446.0,448.8
2018-09-12,3877350,449.5,453.35,441.15,444.9
2018-09-13,1911460,445.45,445.85,438.5,442.4
2018-09-14,2120550,441.25,443.7,437.85,441.35
2018-09-17,2204430,442.7,445.0,437.55,441.3
2018-09-18,2488300,440.85,442.0,435.75,440.4
2018-09-19,2328070,440.85,442.75,436.8,437.85
2018-09-20,5952670,438.3,444.85,438.0,438.7
2018-09-21,4403540,439.75,443.9,434.45,440.4
2018-09-24,3194840,442.05,449.4,440.45,447.05
2018-09-25,4021640,449.9,460.35,446.55,460.0
2018-09-26,4067720,460.0,464.5,454.7,458.5
2018-09-27,5731410,458.0,478.0,456.7,478.0
2018-09-28,8520850,478.95,495.0,476.45,493.0
2018-10-01,3755170,496.0,499.0,487.8,494.05
2018-10-02,2803520,497.0,498.8,489.0,491.4
2018-10-03,6132650,492.1,512.25,491.5,512.0
2018-10-04,7284010,512.0,522.8,500.85,508.2
2018-10-05,4826790,506.0,516.0,498.35,503.0
2018-10-08,5023270,490.45,492.45,478.05,479.45
2018-10-09,4152170,481.75,483.7,473.1,473.1
2018-10-10,4822860,473.3,475.8,466.7,468.75
2018-10-11,4442520,462.0,467.05,458.15,462.55
2018-10-12,2783170,464.6,468.75,463.65,465.1
2018-10-15,1806370,468.25,469.25,460.2,462.05
2018-10-16,2713340,462.5,472.0,462.0,468.7
2018-10-17,3921870,470.15,472.9,466.0,467.85
2018-10-18,2028930,467.3,469.5,462.65,466.6
2018-10-19,2750830,465.1,474.3,464.6,467.0
2018-10-22,2575220,468.95,473.65,463.6,465.3
2018-10-23,4363010,464.0,464.9,450.3,455.0
2018-10-24,3134510,456.0,468.1,455.25,463.5
2018-10-25,3094960,461.95,463.0,453.5,458.4
2018-10-26,2886060,458.4,458.65,448.9,453.3
2018-10-29,1752560,454.05,459.95,453.05,458.5
2018-10-30,2312890,457.9,461.7,443.05,453.7
2018-10-31,4348090,457.0,467.0,456.2,460.45
2018-11-01,3202360,459.8,463.95,455.5,460.0
2018-11-02,3222640,460.55,462.25,456.75,459.6
2018-11-06,6370460,462.1,484.35,461.7,482.45
2018-11-07,3112250,482.75,487.85,478.7,484.1
2018-11-08,3523150,484.0,485.0,473.4,475.0
2018-11-09,4253200,471.05,474.25,465.0,468.6
2018-11-12,2423720,473.0,475.6,462.5,463.5
2018-11-13,7991810,461.7,462.7,443.6,443.6
2018-11-14,11455890,439.85,441.6,425.5,427.15
2018-11-15,5447170,429.05,430.7,421.85,424.25
2018-11-16,5137480,426.25,428.65,420.5,420.85
2018-11-19,4576970,422.15,425.85,421.2,424.1
2018-11-20,7946890,423.35,423.45,412.25,413.55
2018-11-21,4504550,410.65,416.0,409.0,411.85
2018-11-22,2552040,411.8,414.25,408.1,411.1
2018-11-23,7514900,408.95,410.75,401.25,405.2
2018-11-26,7420020,405.8,415.15,397.25,407.0
2018-11-27,3654450,408.7,420.1,408.0,419.8
2018-11-28,4146310,418.8,425.85,418.7,421.45
2018-11-29,5351360,419.55,424.6,412.5,417.0
2018-11-30,3386930,416.95,424.4,414.4,423.1
2018-12-03,6694560,436.2,439.9,429.25,434.0
2018-12-04,3083270,434.0,440.55,433.25,439.0
2018-12-05,2532770,434.95,439.0,430.0,439.0
2018-12-06,4348890,436.0,438.4,422.55,430.0
2018-12-07,5140220,429.4,442.05,429.15,439.0
2018-12-10,4018620,437.0,441.0,424.3,428.5
2018-12-11,3679440,428.5,429.5,421.5,425.55
2018-12-12,4551590,426.05,428.05,419.15,422.0
2018-12-13,4855500,423.0,423.0,414.0,415.75
2018-12-14,3239920,415.1,422.3,414.35,418.0
2018-12-17,2517430,417.9,421.5,414.0,416.0
2018-12-18,5463430,413.0,414.85,407.15,412.15
2018-12-19,3986040,407.0,418.2,406.5,418.2
2018-12-20,3349850,414.0,416.8,410.1,415.6
2018-12-21,3699200,412.9,416.3,405.05,415.0
2018-12-24,1487750,414.9,419.2,412.45,414.0
2018-12-25,1858760,411.0,411.3,401.85,409.0
2018-12-26,1056080,409.1,414.5,409.1,414.5
2018-12-27,6479390,420.0,421.35,416.35,420.5
2018-12-28,2609310,423.0,428.25,421.7,425.95
2018-12-29,940940,426.7,432.5,421.4,432.5
2019-01-03,1528310,429.15,429.8,422.4,425.85
2019-01-04,1635750,427.1,439.0,426.2,430.4
2019-01-08,2052160,427.0,427.0,420.65,423.6
2019-01-09,2413050,425.0,428.9,425.0,427.7
2019-01-10,2493560,427.75,433.0,424.0,432.1
2019-01-11,2839110,432.0,435.3,430.2,434.6
2019-01-14,2358220,434.05,434.05,424.85,427.9
2019-01-15,2863880,428.6,431.35,421.3,424.35
2019-01-16,3091660,424.45,426.9,420.0,421.0
2019-01-17,3468970,422.0,422.45,414.2,415.9
2019-01-18,4510760,419.05,421.95,416.35,419.7
2019-01-21,2613040,421.1,424.8,418.95,422.3
2019-01-22,4536990,419.8,421.05,413.0,416.9
2019-01-23,3021470,417.0,421.25,416.2,419.9
2019-01-24,10537210,417.8,417.8,405.6,408.5
2019-01-25,4986550,408.3,414.3,404.6,414.0
2019-01-28,3322570,412.8,412.9,408.85,411.2
2019-01-29,4411530,410.0,413.65,406.3,412.9
2019-01-30,3540780,412.85,417.15,411.15,415.8
2019-01-31,3428170,417.5,418.6,411.25,411.25
2019-02-01,3011440,410.55,414.85,407.0,411.95
2019-02-04,3375440,412.95,414.4,411.0,411.0
2019-02-05,10446570,411.95,429.75,409.7,428.5
2019-02-06,4283520,429.45,429.45,421.1,421.55
2019-02-07,3473380,420.1,423.9,411.45,411.55
2019-02-08,2342100,410.95,414.75,408.5,411.6
2019-02-11,3471100,412.0,418.75,410.5,410.5
2019-02-12,3933830,410.5,417.95,410.2,414.5
2019-02-13,7221730,414.95,416.15,401.5,401.6
2019-02-14,8167130,394.65,399.6,390.75,394.85
2019-02-15,4641740,397.0,405.35,397.0,403.5
2019-02-18,3510240,403.55,407.75,398.7,405.0
2019-02-19,3370750,404.8,408.35,399.8,402.95
2019-02-20,2778420,403.15,405.0,400.15,402.9
2019-02-21,3206940,403.3,404.8,395.0,396.45
2019-02-22,2842690,396.45,402.5,394.4,401.5
2019-02-25,3768150,400.45,404.15,395.15,396.5
2019-02-26,3097610,394.95,399.4,392.7,399.0
2019-02-27,3544000,400.0,401.0,397.65,400.4
2019-02-28,2299210,398.85,400.95,395.5,398.8
2019-03-01,1805370,399.9,400.95,396.0,398.25
2019-03-04,1579050,399.4,400.5,396.95,398.05
2019-03-05,1867250,397.0,399.55,395.9,395.9
2019-03-06,2700450,397.15,403.0,394.55,402.3
2019-03-07,2350970,402.0,402.85,398.7,402.0
2019-03-11,1870450,401.9,401.95,397.55,399.75
2019-03-12,3280860,400.0,400.35,395.0,397.5
2019-03-13,2548640,397.5,400.1,395.6,400.0
2019-03-14,5183580,400.3,407.8,398.3,398.3
2019-03-15,3595160,401.0,402.5,397.4,401.25
2019-03-18,2672370,399.7,399.7,396.2,399.0
2019-03-19,1928620,399.0,399.85,396.8,399.0
2019-03-20,4050750,399.45,408.5,396.8,408.5
2019-03-21,5261910,408.0,410.45,405.65,409.5
2019-03-22,2430970,409.9,410.7,405.7,408.4
2019-03-25,3308140,405.95,405.95,400.0,404.25
2019-03-26,2012970,404.0,409.7,402.15,405.2
2019-03-27,2753970,405.55,408.0,402.55,404.35
2019-03-28,1844000,404.55,409.3,404.0,407.5
2019-03-29,4653870,407.75,412.9,406.05,412.0
2019-04-01,5034740,413.0,421.25,411.9,419.7
2019-04-02,2465170,420.0,423.2,416.6,418.0
2019-04-03,2227390,419.5,421.7,417.3,417.95
2019-04-04,2644330,418.1,423.75,416.95,422.45
2019-04-05,2538520,422.85,425.75,421.1,421.5
2019-04-08,2946680,423.0,425.4,418.2,420.9
2019-04-09,4284580,422.0,423.85,413.6,415.9
2019-04-10,3227420,415.05,425.5,413.85,425.5
2019-04-11,5982950,425.5,436.25,424.0,431.0
2019-04-12,3762950,433.0,437.25,430.0,432.5
2019-04-15,2863880,432.0,434.9,426.4,428.9
2019-04-16,5174360,430.0,436.7,428.55,435.15
2019-04-17,3565870,437.4,441.0,435.75,436.5
2019-04-18,2379960,435.65,437.75,432.55,435.65
2019-04-19,1165030,437.0,437.0,431.1,432.0
2019-04-22,2388950,434.75,440.95,432.95,439.6
2019-04-23,5910290,440.95,449.0,437.7,441.0
2019-04-24,3294060,442.0,442.0,436.7,441.3
2019-04-25,3592700,441.0,441.2,432.95,436.0
2019-04-26,3697730,435.1,435.35,428.05,434.45
2019-04-29,1594870,433.0,435.75,429.5,433.7
2019-04-30,3576650,433.95,434.4,426.8,428.8
2019-05-02,2999910,427.75,427.8,421.8,423.25
2019-05-03,1613880,425.15,427.6,421.8,423.55
2019-05-06,1441260,421.2,425.4,418.0,425.0
2019-05-07,2872860,426.75,427.25,416.9,422.0
2019-05-08,2247390,421.5,423.8,418.05,420.4
2019-05-10,2171810,420.0,423.15,413.55,413.75
2019-05-13,3855490,415.0,423.05,414.25,417.2
2019-05-14,3202400,420.0,422.8,419.55,420.95
2019-05-15,3827440,421.85,421.85,413.1,413.7
2019-05-16,3757280,413.7,415.4,410.6,412.0
2019-05-17,2424170,411.0,415.6,410.6,413.0
2019-05-20,2272060,414.4,415.45,408.1,408.2
2019-05-21,3933530,409.35,420.0,408.0,415.95
2019-05-22,3103260,416.5,420.35,413.6,414.0
2019-05-23,3869040,413.65,420.0,411.8,417.05
2019-05-24,3384130,418.1,427.85,417.3,423.0
2019-05-27,740780,422.0,426.55,422.0,425.4
2019-05-28,7557090,423.9,435.75,423.9,431.8
2019-05-29,4761820,429.0,437.0,426.8,437.0
2019-05-30,3440340,440.0,440.95,437.0,439.0
2019-05-31,4372670,436.5,438.1,428.3,433.0
2019-06-03,6040470,428.0,438.9,424.35,438.9
2019-06-04,6013530,438.3,445.05,433.5,435.0
2019-06-05,2888490,436.0,436.0,425.65,426.2
2019-06-06,4404110,427.0,428.4,419.6,422.9
2019-06-07,5214090,425.4,426.55,419.3,419.55
2019-06-10,2621260,421.7,424.25,420.1,422.0
2019-06-11,3842630,421.95,425.5,420.75,422.9
2019-06-13,4950130,421.35,425.6,420.15,422.0
2019-06-14,6848050,414.8,416.65,408.0,408.0
2019-06-17,5217150,409.55,415.0,407.8,408.1
2019-06-18,4615800,408.5,411.7,407.1,411.7
2019-06-19,3491600,411.95,412.75,408.0,409.25
2019-06-20,8955030,411.1,419.75,409.45,419.75
2019-06-21,5271740,419.2,420.0,414.55,419.1
2019-06-24,2977930,419.0,420.75,415.5,416.45
2019-06-25,2606180,415.0,415.6,410.4,412.15
2019-06-26,3638530,413.1,417.8,412.55,415.9
2019-06-27,2667080,417.05,418.4,412.75,415.1
2019-06-28,1938710,415.0,415.5,412.6,414.5
2019-07-01,4092820,417.5,422.8,416.3,417.8
2019-07-02,2098800,417.85,420.15,415.1,417.0
2019-07-03,2701800,416.9,422.2,414.75,420.0
2019-07-04,1742000,421.8,422.85,417.85,422.55
2019-07-05,3418740,422.9,424.55,416.3,418.65
2019-07-08,2714100,417.95,421.9,417.2,419.25
2019-07-09,2214720,419.1,424.5,419.1,420.95
2019-07-10,3318820,421.75,425.9,419.2,423.25
2019-07-11,2989220,425.1,425.1,417.3,418.4
2019-07-12,2003650,418.4,421.3,415.05,419.25
2019-07-15,1285620,421.3,422.3,418.2,418.4
2019-07-16,1176960,417.9,420.8,417.85,420.4
2019-07-17,2398020,418.55,421.1,416.5,421.1
2019-07-18,1905000,420.35,421.25,416.7,417.0
2019-07-19,1177370,418.75,420.65,418.1,420.45
2019-07-22,1600980,416.0,423.95,415.25,420.45
2019-07-23,3622760,420.75,431.15,420.6,428.0
2019-07-24,1613330,428.6,429.85,426.1,427.6
2019-07-25,2177790,428.45,429.45,425.6,428.95
2019-07-26,2319080,428.95,429.85,423.5,423.5
2019-07-29,1384360,424.1,425.5,420.05,421.9
2019-07-30,1120510,422.8,423.1,418.15,420.45
2019-07-31,1657620,420.5,422.7,418.7,421.95
2019-08-01,1575940,419.5,421.1,417.2,419.4
2019-08-02,4972330,416.9,418.0,411.75,411.75
2019-08-05,4653170,411.5,413.85,405.7,406.3
2019-08-06,4026310,407.05,412.35,406.55,412.0
2019-08-07,4885090,411.05,411.45,405.35,406.55
2019-08-08,2687430,408.1,409.6,406.6,406.6
2019-08-09,2509270,407.5,407.95,404.3,404.6
2019-08-12,3542730,405.0,407.3,401.4,402.4
2019-08-13,3677470,402.4,408.45,400.7,405.3
2019-08-14,5310260,406.0,407.0,397.7,400.15
2019-08-15,3263050,402.2,405.2,400.05,404.25
2019-08-16,2538360,405.55,406.8,404.0,404.75
2019-08-19,4333690,406.45,407.85,402.3,404.0
2019-08-20,4483930,405.45,409.95,404.75,407.9
2019-08-21,5199950,416.95,416.95,410.0,410.4
2019-08-22,3206680,410.4,411.65,406.0,406.0
2019-08-23,3170390,407.3,408.35,404.4,405.6
2019-08-26,1692070,403.0,406.95,402.95,405.7
2019-08-27,4854590,406.5,406.5,403.1,406.5
2019-08-28,3728780,406.45,406.8,403.8,404.8
2019-08-29,3324820,405.0,408.0,404.8,406.25
2019-08-30,3442290,406.45,409.35,405.7,406.95
2019-09-02,5187190,407.0,413.2,406.0,412.0
2019-09-03,3651670,411.85,412.0,406.95,410.4
2019-09-04,4088810,411.5,415.9,411.35,414.65
2019-09-05,4868480,416.5,420.55,414.65,418.3
2019-09-06,3775590,418.05,422.9,415.9,422.9
2019-09-09,2421150,424.0,424.45,420.7,423.9
2019-09-10,4492560,423.8,423.85,416.15,418.0
2019-09-11,3555070,417.1,419.45,413.65,416.1
2019-09-12,5524440,416.15,417.3,409.4,412.05
2019-09-13,2434620,412.0,412.8,408.85,410.05
2019-09-16,17572690,418.5,431.3,415.05,429.7
2019-09-17,15588740,431.85,440.9,424.0,428.1
2019-09-18,4412450,428.5,429.7,423.5,426.0
2019-09-19,4783790,425.0,428.8,424.55,427.0
2019-09-20,3070370,426.8,428.3,425.05,428.3
2019-09-23,4889900,428.3,430.0,423.7,428.75
2019-09-24,4074760,431.05,431.5,423.6,425.5
2019-09-25,3854470,424.4,424.65,421.85,424.5
2019-09-26,2115790,424.55,425.95,422.05,422.55
2019-09-27,1732210,422.5,424.75,422.2,422.5
2019-09-30,2334340,422.2,422.5,419.3,419.3
2019-10-01,2434990,420.35,423.25,419.9,420.65
2019-10-02,3423590,420.65,422.25,415.8,417.55
2019-10-03,3801380,416.75,417.8,410.7,413.1
2019-10-04,2914480,415.3,419.2,413.1,415.0
2019-10-07,3432460,416.7,422.9,414.55,418.5
2019-10-08,2641420,418.85,421.9,418.6,419.5
2019-10-09,2802010,420.35,422.0,419.3,421.15
2019-10-10,5087850,409.95,411.6,407.05,409.0
2019-10-11,3582330,410.75,412.7,409.6,411.65
2019-10-14,1960300,411.65,414.0,410.25,413.4
2019-10-15,2025340,412.45,413.6,411.1,411.65
2019-10-16,3092880,413.0,415.5,410.3,414.95
2019-10-17,2951090,414.9,418.6,413.2,417.65
2019-10-18,1751370,417.65,417.7,414.15,415.0
2019-10-21,2603480,415.0,415.5,411.5,413.75
2019-10-22,3475400,413.45,417.4,412.55,417.4
2019-10-23,4108860,415.9,420.75,415.2,420.0
2019-10-24,3998420,420.0,422.5,419.3,420.5
2019-10-25,2473210,421.0,422.35,417.7,421.35
2019-10-28,2122390,422.2,424.3,420.0,421.4
2019-10-29,5713870,421.4,430.45,419.1,429.2
2019-10-30,4624480,428.75,433.5,425.7,432.65
2019-10-31,3477500,432.5,435.5,426.0,426.0
2019-11-01,5003510,426.5,435.4,424.0,434.4
2019-11-05,8677320,437.8,453.45,434.45,451.4
2019-11-06,9041070,452.05,454.5,443.35,454.5
2019-11-07,5957260,452.0,464.7,450.45,463.5
2019-11-08,4171670,462.0,462.85,453.65,454.25
2019-11-11,3220850,453.05,453.85,446.4,453.0
2019-11-12,7240110,454.0,468.3,453.2,461.05
2019-11-13,3554510,458.1,461.45,455.1,459.5
2019-11-14,4477310,459.2,460.2,451.7,457.3
2019-11-15,3003220,457.3,460.7,453.7,458.0
2019-11-18,3032390,459.6,461.5,450.1,451.0
2019-11-19,2644550,451.25,455.0,448.5,452.55
2019-11-20,4434830,450.9,452.5,441.65,450.35
2019-11-21,1952620,449.8,454.0,445.75,452.85
2019-11-22,2537450,452.2,457.4,450.8,453.0
2019-11-25,1748740,455.0,456.5,453.0,455.0
2019-11-26,6255680,455.6,456.35,445.1,453.0
2019-11-27,3604600,452.0,452.85,445.1,445.9
2019-11-28,2224970,445.45,447.2,442.5,445.5
2019-11-29,2907480,444.6,444.6,440.3,441.0
2019-12-02,3243280,443.4,443.95,435.4,435.45
2019-12-03,2850050,434.2,439.55,432.5,433.0
2019-12-04,3553690,433.4,444.15,427.6,442.15
2019-12-05,2932430,441.0,443.75,435.25,438.4
2019-12-06,2845350,438.4,448.35,436.6,446.0
2019-12-09,2006130,448.0,450.5,445.2,449.0
2019-12-10,2593230,448.8,451.9,445.5,448.85
2019-12-11,3936930,449.45,455.85,448.75,451.7
2019-12-12,5508850,453.3,458.75,451.6,452.8
2019-12-13,4586410,456.15,457.35,450.25,451.1
2019-12-16,3597230,450.8,452.65,448.0,448.45
2019-12-17,5215360,449.95,455.0,449.2,454.05
2019-12-18,4389380,453.0,456.45,451.55,454.45
2019-12-19,5095820,454.5,456.85,449.0,451.75
2019-12-20,5244610,452.45,453.2,446.5,451.75
2019-12-23,2999470,451.7,454.1,449.0,451.0
2019-12-24,1574240,451.0,453.2,450.5,451.4
2019-12-25,1649040,452.0,455.3,451.9,454.0
2019-12-26,1786410,455.7,455.75,452.5,452.5
2019-12-27,2784150,453.5,455.4,453.2,453.5
2019-12-30,3255130,453.4,453.95,449.5,449.7
2020-01-03,4376800,453.75,458.65,453.35,456.9
2020-01-06,6828930,459.0,460.4,453.4,455.6
2020-01-08,9251220,456.0,462.7,451.45,452.0
2020-01-09,4982540,452.4,460.95,450.7,460.2
2020-01-10,6695940,459.9,475.65,456.85,473.5
2020-01-13,4812230,476.65,482.25,472.15,481.15
2020-01-14,6553240,481.15,486.45,472.7,475.5
2020-01-15,4595510,474.7,482.1,469.95,474.5
2020-01-16,4124610,477.95,481.5,476.7,480.95
2020-01-17,4466590,482.45,487.2,481.25,485.15
2020-01-20,3130680,488.0,489.9,484.65,484.85
